date,taiex_close,otc_close,disp,absmove,pct5,adv,n,s_mean,s_abs,s_lim,mkt50_abs,s_k,ld_n,ld_share,ld_abs,ld_dd
2018-03-23,10823.33,150.62,2.2302,1.8903,4.46,14.67,1568,-1.3851,2.6779,2.11,1.8075,95.0,17,15.11,2.94,-7.14
2018-03-26,10840.05,152.29,2.3741,1.4649,6.44,51.15,1568,1.7854,2.6797,5.26,1.3154,95.0,11,12.02,2.46,-6.3
2018-03-27,10986.79,153.97,2.0333,1.3731,4.66,66.75,1567,1.1096,2.2723,5.26,1.3774,95.0,8,9.48,3.33,-4.15
2018-03-28,10865.66,153.11,2.0517,1.2707,3.19,29.23,1567,-0.3626,1.9134,1.04,1.138,96.0,14,14.28,3.12,-6.69
2018-03-29,10845.92,154.16,2.1441,1.2571,4.53,46.08,1567,1.0183,1.8771,6.32,1.1349,95.0,9,8.87,1.7,-3.75
2018-03-30,10906.22,154.63,2.2075,1.2966,4.53,45.56,1567,-0.3768,2.1651,5.21,1.1927,96.0,10,10.51,0.67,-2.58
2018-03-31,10919.49,155.06,2.2217,1.2646,5.23,51.82,1567,1.5407,2.1939,9.38,1.0537,96.0,9,10.29,1.47,-2.04
2018-04-02,10888.27,154.66,2.376,1.4189,5.23,45.18,1567,0.5328,2.3361,6.25,1.1792,96.0,13,12.76,2.05,-2.9
2018-04-03,10821.53,154.42,2.3404,1.3945,5.1,32.1,1570,0.8068,2.7716,11.46,1.2714,96.0,11,10.28,2.05,-2.96
2018-04-09,10893.53,154.65,2.9684,1.8691,8.98,42.36,1570,1.9345,3.4626,17.53,1.7137,97.0,12,10.32,2.98,-2.46
2018-04-10,10927.18,153.42,2.7822,1.7808,9.1,38.57,1571,-1.682,3.6503,9.38,1.5263,96.0,12,10.82,3.29,-2.3
2018-04-11,10974.02,154.3,2.643,1.612,7.45,52.45,1571,1.3204,3.0179,11.46,1.4132,96.0,12,10.71,1.02,-1.92
2018-04-12,10955.29,154.79,2.2879,1.3701,4.77,42.68,1572,-0.3798,2.0459,3.16,1.2107,95.0,13,11.32,1.93,-1.71
2018-04-13,10965.39,155.28,2.1645,1.2817,4.77,37.66,1572,-0.4673,2.2546,1.04,1.1057,96.0,14,11.71,2.57,-1.57
2018-04-16,10954.55,156.0,2.3546,1.4994,4.9,29.64,1572,0.7746,2.6351,9.47,1.3304,95.0,15,13.22,4.28,-2.41
2018-04-17,10810.45,152.94,2.1627,1.7262,5.66,15.27,1572,-2.2329,2.9734,3.16,1.7008,95.0,16,16.42,3.71,-4.66
2018-04-18,10847.89,153.99,2.1466,1.254,4.58,47.46,1572,1.9453,2.5983,4.26,1.2202,94.0,15,15.55,3.69,-2.63
