stock_code,cap
4764,224.55
4766,385.82
4767,8.36
4768,142.94
4770,169.95
4771,115.96
4772,355.17
4804,2.4
4806,10.19
4807,16.76
4903,41.08
4904,3679.87
4905,19.22
4906,154.91
4907,53.17
4908,122.8
4909,35.8
4911,17.94
4912,60.9
4915,292.1
4916,133.61
4919,524.71
4923,15.05
4924,3.72
4927,92.86
4930,12.96
4931,143.27
4933,46.93
4934,32.39
4935,44.65
4938,2360.2
4939,60.29
4942,48.63
4943,11.13
4946,7.0
4949,45.7
4950,9.04
4951,27.49
4952,53.1
4953,93.26
4956,31.53
4958,5344.84
4960,119.77
4961,203.1
4966,477.71
4967,237.9
4968,89.9
4971,226.49
4972,9.39
4973,106.1
4974,49.58
4976,52.51
4977,114.53
4979,694.72
4987,26.0
4989,93.27
4991,536.34
4994,57.55
4995,20.72
4999,13.69
5007,165.17
5009,195.8
5011,18.52
5013,33.88
5014,20.42
5015,12.92
5016,11.93
5201,10.3
5202,11.04
5203,53.16
5205,2.94
5206,36.44
5209,44.82
5210,22.84
5211,6.35
5212,16.28
5213,151.13
5215,24.51
5220,8.13
5222,102.95
5223,10.22
5225,59.28
5227,32.65
5228,16.6
5230,9.74
5234,344.61
5236,87.31
5243,150.5
5244,22.94
5245,10.38
5251,8.73
5258,57.39
5263,68.31
5269,1045.61
5272,10.08
5274,6331.95
5276,7.53
5278,7.4
5283,47.13
5284,160.54
5285,79.49
5287,88.35
5288,133.48
5289,1551.03
5291,21.36
5292,78.05
5299,52.41
5301,3.43
5302,16.15
5306,117.43
5309,122.54
5310,7.23
5312,54.23
5314,8.68
5315,20.48
5321,32.32
5324,28.07
5328,108.64
5340,139.15
5344,11.4
5345,8.62
5347,2847.54
5348,2.47
5351,338.32
5353,21.82
5355,9.19
5356,25.14
5364,5.58
5371,338.98
5381,49.32
5386,97.78
5388,279.39
5392,81.57
5398,6.97
5403,71.69
5410,34.59
5425,223.7
5426,37.68
5432,22.34
5434,985.72
5438,19.13
5439,219.43
5443,156.84
5450,17.57
5452,39.35
5455,18.67
5457,55.79
5460,9.35
5464,48.05
5465,31.89
5468,15.06
5469,342.76
5471,91.32
5474,59.04
5475,156.35
5478,154.52
5481,14.14
5483,1138.16
5484,27.36
5487,7.02
5488,12.09
5489,44.57
5490,32.07
5493,34.16
5498,96.97
5508,112.85
5511,95.34
5512,59.16
5514,32.0
5515,85.48
5516,6.16
5519,60.83
5520,49.23
5521,49.97
5522,498.65
5523,47.04
5525,73.96
5529,22.42
5530,198.49
5531,82.65
5533,39.93
5534,245.31
5536,663.83
5538,68.81
5543,12.35
5546,11.29
5547,8.88
5548,11.97
5601,18.66
5603,14.84
5604,33.06
5607,181.01
5608,51.57
5609,112.73
5701,6.08
5703,10.01
5704,12.8
5706,37.52
5864,147.05
5871,2028.96
5876,2112.37
5878,9.56
5880,4092.73
5902,32.41
5903,420.74
5904,766.11
5905,22.93
5906,14.55
5907,9.5
6005,750.05
6015,62.55
6016,139.38
6020,52.99
6021,105.69
6023,278.38
6024,148.21
6026,55.06
6028,20.59
6101,40.79
6103,3.94
6104,86.57
6108,27.81
6109,9.58
6111,40.04
6112,85.24
6113,11.97
6114,11.31
6115,84.64
6116,400.2
6117,60.52
6118,14.32
6120,80.56
6121,703.81
6122,39.43
6123,26.36
6124,48.91
6125,127.17
6126,40.93
6127,54.04
6128,25.72
6129,27.13
6130,11.16
6133,24.86
6134,21.5
6136,28.6
6138,218.2
6139,1969.41
6140,9.12
6141,38.99
6142,31.52
6143,80.89
6144,5.05
6146,193.56
6147,1124.33
6148,13.07
6150,27.76
6151,19.35
6152,19.96
6153,103.69
6154,11.01
6155,48.86
6156,22.33
6158,9.39
6160,9.69
6161,31.43
6163,61.4
6164,9.48
6165,38.49
6166,315.76
6167,15.18
6168,50.82
6169,3.11
6170,44.98
6171,23.6
6173,292.75
6174,20.75
6175,115.44
6176,294.01
6177,225.56
6179,46.72
6180,71.24
6182,641.09
6183,137.1
6184,66.93
6185,20.53
6186,82.75
6187,1062.32
6188,200.14
6189,129.12
6190,126.84
6191,423.91
6192,109.62
6194,14.24
6195,13.62
6196,1119.28
6197,386.39
6198,32.94
6199,59.48
6201,44.03
6202,136.63
6203,52.63
6204,17.75
6205,49.26
6206,206.73
6207,82.87
6208,77.36
6209,139.81
6210,6.06
6212,29.42
6213,1363.35
6214,396.11
6215,80.4
6216,21.26
6217,189.31
6218,22.17
6219,15.49
6220,39.03
6221,35.07
6222,19.51
6223,6172.82
6224,48.39
6225,7.01
6226,26.4
6227,95.14
6228,4.64
6229,9.56
6230,95.84
6231,104.32
6233,16.65
6234,34.83
6235,78.16
6236,7.1
6237,26.68
6239,2045.9
6240,4.32
6241,7.01
6242,11.0
6243,20.51
6244,91.92
6245,120.81
6246,4.72
6248,17.59
6257,1001.71
6259,8.39
6261,102.92
6263,98.12
6264,8.26
6265,64.64
6266,37.0
6269,208.87
6270,21.43
6271,401.39
6272,20.57
6274,4418.25
6275,36.21
6276,4.44
6277,89.96
6278,475.15
6279,143.42
6281,51.27
6282,413.47
6283,29.79
6284,113.53
6285,1194.64
6290,362.73
6291,160.86
6292,27.82
6294,7.01
6405,25.66
6409,891.37
6411,77.91
6412,316.21
6414,682.74
6415,433.27
6416,75.55
6417,51.91
6418,11.0
6419,19.67
6423,23.6
6425,28.21
6426,72.01
6431,18.31
6432,25.26
6435,96.84
6438,120.84
6441,11.38
6442,1138.37
6443,143.82
6446,5449.39
6449,219.61
6451,518.56
6456,207.5
6461,17.21
6462,91.25
6464,99.55
6465,22.07
6469,112.76
6470,16.36
6472,534.65
6474,19.86
6477,43.64
6482,7.88
6485,30.26
6486,37.92
6488,4169.15
6491,295.62
6492,34.79
6494,15.93
6496,11.49
6498,35.42
6499,55.84
6504,28.03
6505,6391.91
6506,13.67
6508,22.42
6509,92.37
6510,929.56
6512,5.09
6515,2441.58
6516,34.53
6517,19.25
6523,40.77
6525,179.38
6526,1067.02
6527,19.24
6530,26.09
6531,732.81
6532,28.69
6533,118.02
6534,97.55
6535,151.22
6538,57.03
6541,100.3
6542,20.46
6546,40.11
6547,160.76
6548,28.2
6550,100.22
6552,20.41
6556,19.64
6558,24.62
6560,10.53
6561,255.32
6568,42.97
6569,38.46
6570,21.08
6573,13.93
6574,31.12
6576,125.56
6577,47.33
6578,13.53
6579,296.54
6581,121.29
6582,33.56
6584,353.21
6585,85.49
6588,32.61
6589,147.31
6590,16.04
6591,18.5
6592,431.0
6593,10.35
6596,33.85
6597,19.75
6598,30.99
6603,43.12
6605,228.83
6606,28.68
6609,27.72
6612,33.33
6613,119.24
6614,29.2
6615,7.3
6616,3.1
6617,111.69
6620,146.01
6624,9.5
6625,44.52
6629,40.87
6637,16.65
6640,270.35
6641,6.55
6642,28.79
6643,191.51
6645,8.18
6649,15.37
6651,41.69
6654,69.83
6655,96.28
6657,27.53
6658,55.1
6661,4.15
6662,7.73
6664,209.78
6666,20.04
6667,114.32
6668,37.69
6669,11642.93
6670,367.29
6671,13.97
6672,189.77
6674,10.63
6679,119.56
6680,13.85
6683,326.56
6684,21.04
6689,41.54
6690,49.5
6691,877.14
6692,13.06
6693,77.26
6695,53.35
6697,10.93
6698,22.91
6703,35.29
6706,87.98
6708,11.34
6712,155.19
6715,245.79
6716,26.31
6719,226.26
6720,40.81
6721,11.56
6722,29.0
6725,96.38
6727,107.55
6728,33.3
6730,12.7
6732,77.04
6733,37.2
6735,33.66
6739,260.82
6741,33.58
6742,31.39
6743,43.63
6751,9.24
6752,37.0
6753,154.77
6754,28.18
6756,72.09
6757,259.63
6761,55.58
6762,59.44
6763,7.82
6767,9.68
6768,133.47
6770,3106.1
6771,11.88
6776,48.72
6781,931.06
6782,129.78
6785,66.06
6788,138.11
6789,1453.04
6790,102.18
6791,21.78
6792,26.52
6794,47.48
6796,22.85
6799,39.9
6803,196.19
6804,9.0
6805,1206.55
6806,9.6
6807,19.67
6811,95.95
6821,13.57
6823,20.52
6829,115.97
6830,227.16
6831,442.81
6834,81.49
6835,20.45
6838,35.1
6840,20.55
6841,53.81
6843,13.18
6844,22.64
6846,16.52
6854,114.15
6855,27.78
6856,13.08
6859,42.0
6861,87.58
6862,72.0
6863,98.1
6865,3.92
6869,93.45
6870,61.13
6872,10.75
6873,112.13
6874,16.94
6875,21.21
6877,58.71
6881,30.0
6884,5.77
6885,27.95
6887,27.03
6890,426.75
6894,83.9
6895,39.9
6899,21.58
6901,149.26
6902,43.88
6903,217.36
6904,23.41
6906,24.72
6907,121.92
6908,12.5
6909,27.46
6910,7.54
6913,60.94
6914,97.02
6916,12.28
6918,24.58
6919,83.7
6921,20.53
6922,52.82
6923,68.24
6924,23.51
6925,10.78
6928,41.63
6929,10.55
6931,24.68
6933,71.68
6934,26.33
6936,23.22
6937,177.6
6944,608.9
6949,640.72
6951,32.57
6952,25.29
6953,64.68
6955,29.57
6957,116.58
6958,81.42
6961,13.69
6962,154.37
6965,119.91
6967,17.18
6968,21.54
6969,24.68
6971,9.86
6982,19.58
6988,6.03
6994,26.66
6996,78.12
6997,16.44
7402,36.86
7547,16.62
7556,64.85
7584,4.2
7610,850.25
7631,26.59
7642,23.27
7703,63.06
7704,22.23
7705,20.85
7708,23.72
7709,28.78
7711,259.19
7712,46.23
7713,31.43
7714,32.24
7715,11.79
7716,5.61
7717,106.02
7718,21.91
7721,34.0
7722,186.66
7723,9.17
7728,86.44
7730,58.87
7732,23.02
7734,949.2
7736,53.12
7738,45.41
7740,82.47
7743,7.52
7744,144.5
7747,31.81
7749,161.53
7750,1699.09
7751,377.79
7753,9.51
7757,21.46
7760,22.22
7765,90.32
7767,14.29
7769,11650.46
7770,11.9
7777,77.8
7780,13.53
7782,5.99
7786,217.3
7788,173.84
7791,47.68
7792,101.26
7794,8.13
7795,331.87
7799,564.04
7805,212.65
7810,39.69
7811,23.7
7820,37.77
7821,48.95
7822,395.01
7823,28.46
7828,710.67
8011,27.21
8016,370.63
8021,605.55
8024,6.57
8027,200.85
8028,492.71
8032,18.81
8033,312.81
8034,11.05
8038,20.09
8039,569.52
8040,69.61
8042,147.92
8043,107.87
8044,56.0
8045,51.71
8046,7140.12
8047,18.42
8048,31.16
8049,31.11
8050,129.49
8054,88.6
8059,29.39
8064,194.98
8066,5.4
8067,2.74
8068,14.65
8069,2262.54
8070,34.29
8071,13.91
8072,20.96
8074,48.26
8076,67.65
8077,10.31
8080,18.3
8081,224.92
8083,55.68
8084,29.51
8085,15.61
8086,242.71
8087,11.29
8088,29.49
8089,12.21
8091,122.76
8092,7.66
8093,11.71
8096,202.35
8097,33.05
8099,58.54
8101,6.83
8102,16.1
8103,66.27
8104,32.42
8105,72.86
8107,8.67
8109,108.45
8110,238.16
8111,68.3
8112,494.21
8114,242.74
8121,62.41
8131,284.34
8147,53.29
8150,612.23
8155,185.72
8162,37.09
8163,86.38
8171,22.07
8176,7.05
8182,42.18
8183,35.28
8201,7.39
8210,1547.69
8213,82.33
8215,77.59
8222,25.06
8227,58.52
8234,95.61
8240,41.8
8249,58.3
8255,145.58
8261,221.71
8271,320.14
8272,12.21
8277,7.45
8279,24.82
8284,29.6
8289,29.28
8291,7.17
8299,4476.98
8341,97.89
8342,29.3
8349,86.87
8354,12.32
8358,969.94
8367,36.97
8374,89.69
8383,81.57
8390,94.68
8401,16.04
8403,26.08
8404,69.07
8409,5.79
8410,11.32
8411,28.28
8415,390.43
8416,47.54
8421,7.92
8422,35.49
8423,7.5
8424,24.81
8426,10.78
8429,11.26
8431,24.39
8432,19.59
8433,29.37
8435,18.44
8436,140.69
8437,4.32
8438,46.31
8440,9.85
8442,31.09
8443,7.65
8444,6.89
8446,45.35
8450,7.55
8454,683.64
8455,6.09
8462,132.24
8463,31.35
8464,1119.34
8466,13.45
8467,47.36
8472,12.05
8473,75.93
8476,17.38
8477,10.07
8478,142.37
8481,26.64
8482,52.43
8487,19.21
8488,7.45
8489,13.7
8499,103.12
8905,40.61
8906,11.93
8908,125.51
8916,65.2
8917,86.21
8921,8.15
8923,5.68
8924,43.49
8926,527.22
8927,88.0
8928,11.6
8929,6.67
8930,25.19
8931,49.88
8932,90.38
8933,14.44
8935,19.7
8936,129.75
8937,25.8
8938,83.05
8940,10.36
8941,15.17
8942,75.37
8996,1059.95
9103,4.32
910322,5.1
9105,76.76
910861,1.4
9110,1.6
911608,0.9
911622,1.1
911868,1.7
912000,4.3
9136,5.0
9802,140.5
9902,13.38
9904,699.86
9905,63.89
9906,35.25
9907,227.39
9908,149.74
9910,688.27
9911,182.58
9912,6.76
9914,234.1
9917,487.29
9918,76.91
9919,27.26
9921,353.63
9924,58.12
9925,155.19
9926,88.85
9927,82.68
9928,12.85
9929,11.55
9930,154.59
9931,40.86
9933,350.86
9934,44.18
9935,34.86
9937,171.21
9938,135.33
9939,421.49
9940,149.95
9941,553.35
9942,96.06
9943,64.21
9944,18.64
9945,749.46
9946,58.14
9949,10.46
9950,17.52
9951,38.63
9955,24.91
9958,272.82
9960,11.05
9962,9.0
4195,12.24
4582,21.44
6947,86.6
7689,87.19
7768,184.62
7803,19.55
7818,104.12
